a;b;c;d;gesamt;unter6;6-15;15-18;18-27;27-45;45-55;55-65;65undmehr;weiblich;Ausländer
06;30;06;29;7054;313;496;166;656;1681;965;1028;1749;3685;1068
06;30;06;30;5630;319;450;160;647;1389;707;810;1148;2892;1425
06;30;06;31;2969;126;254;79;464;657;410;375;604;1503;716
06;30;06;32;13824;736;1445;463;1202;2728;2129;2047;3074;7009;1870
06;30;06;33;11981;574;976;338;1037;2543;1577;1905;3031;6244;1683
06;30;06;34;8451;410;772;290;687;1456;1189;1263;2384;4529;1068
06;40;07;35;10122;471;1011;277;695;1587;1492;1579;3010;5167;1287
06;40;07;36;5237;272;532;187;401;813;751;789;1492;2742;465
06;40;07;37;11237;441;986;333;1475;2007;1340;1543;3112;5756;2290
06;40;08;38;7413;360;612;215;557;1023;966;1276;2404;3928;665
06;40;08;39;5209;206;443;158;417;809;711;848;1617;2832;570
06;40;08;40;7170;277;600;247;626;1063;1035;1193;2129;3911;589
06;40;08;41;6001;287;451;186;495;1095;708;792;1987;3374;754
06;40;08;42;4808;315;596;193;396;950;867;663;828;2482;714
06;40;08;43;4797;211;444;186;450;706;695;813;1292;2512;831
06;40;08;44;7234;343;674;251;661;1293;984;974;2054;3772;1269
07;10;01;01;9719;413;535;155;748;2572;1406;1492;2398;4641;2685
07;10;01;02;8477;424;543;177;933;2419;1168;1247;1566;3854;2825
07;10;01;03;7675;405;562;233;844;2169;1119;1139;1204;3620;2751
07;10;02;04;10410;543;654;219;1019;3114;1404;1586;1871;5167;2476
07;10;02;05;5154;242;426;160;553;1533;712;693;835;2496;1955
07;10;02;06;8304;522;558;171;859;2707;1188;1262;1037;3978;2463
07;20;03;07;10501;497;634;208;968;2740;1448;1614;2392;5353;2064
07;20;03;08;10436;636;734;212;1080;3499;1322;1278;1675;5124;2879
07;20;04;09;9251;481;603;179;869;2783;1321;1507;1508;4702;1971
07;20;04;10;5619;369;439;144;683;1893;659;655;777;2750;1759
07;20;04;11;2763;161;174;62;281;916;369;432;368;1362;697
07;20;04;12;1706;160;107;24;365;792;112;89;57;841;645
07;20;04;13;7753;441;513;145;731;2781;1046;1203;893;3909;1570
07;20;04;14;3723;224;299;47;400;1342;506;494;411;1877;816
07;30;05;15;6809;347;494;168;565;1663;945;1101;1526;3651;845
07;30;05;16;8808;421;636;254;898;2270;1240;1386;1703;4684;1441
07;30;05;17;9180;560;784;247;891;2156;1189;1331;2022;4942;1646
07;30;06;18;9307;519;663;231;902;2390;1206;1435;1961;4870;1593
07;30;06;19;12234;781;982;295;1295;3587;1580;1737;1977;6285;2847
07;40;07;20;11909;613;883;252;1097;3229;1564;1821;2450;6211;2398
07;40;07;21;5375;333;631;188;542;1147;713;823;998;2761;750
07;40;08;22;2288;118;185;51;161;507;302;378;586;1166;248
07;40;08;23;9702;595;656;188;933;2895;1138;1374;1923;5129;1843
07;40;08;24;7264;475;516;126;786;2233;872;876;1380;3708;1650
07;40;08;25;7361;476;514;141;803;2449;954;958;1066;3784;1808
07;40;08;26;5140;267;327;105;426;1197;596;804;1418;2725;695
07;40;09;27;11225;702;835;247;1328;3337;1299;1407;2070;5709;3030
07;40;09;28;3897;275;296;62;439;1506;483;446;390;1868;1418
07;50;10;29;8044;492;575;168;774;2352;945;1103;1635;4057;1749
07;50;10;30;8716;487;670;156;842;2441;1016;1143;1961;4476;1913
07;50;10;31;9025;479;520;179;701;2332;1051;1367;2396;4780;1483
07;50;10;32;5579;327;368;152;520;1305;719;831;1357;2883;884
07;50;11;33;8012;407;551;189;832;1930;940;1038;2125;4207;1934
07;50;11;34;10540;586;781;235;891;2043;1256;1479;3269;5550;1489
07;50;11;35;2225;102;167;56;193;411;312;334;650;1113;261
07;60;12;36;10226;669;1039;343;1080;2338;1207;1253;2297;5131;2526
07;60;12;37;4766;231;380;154;391;897;691;755;1267;2375;558
07;60;12;38;2868;152;290;65;266;529;313;352;901;1487;522
07;60;13;39;5706;367;497;135;474;1233;632;695;1673;3091;912
07;60;13;40;6384;377;557;185;578;1437;754;836;1660;3387;1148
07;60;13;41;2247;124;160;54;191;438;284;366;630;1125;372
07;60;14;42;10413;552;830;276;903;1965;1329;1618;2940;5416;1136
07;60;14;43;10926;648;984;269;827;2121;1482;1725;2870;5684;1050
07;60;15;44;8883;598;776;212;780;1937;1055;1155;2370;4598;1408
07;60;15;45;8341;505;906;307;873;1680;946;1130;1994;4290;1937
07;60;15;46;6907;373;528;205;592;1298;956;1205;1750;3533;607
07;60;15;47;3832;269;332;99;285;697;483;570;1097;2007;469
07;60;15;48;2893;152;266;69;220;452;414;457;863;1492;263
08;10;01;01;4709;241;290;82;452;1987;571;598;488;2222;1826
08;10;01;02;8237;423;509;149;784;3822;981;839;730;3995;2975
08;10;01;03;7350;420;438;108;599;3492;867;770;656;3504;2383
08;10;01;04;6592;367;455;149;657;2956;783;689;536;3051;2370
08;10;01;05;5690;341;445;186;768;2185;545;434;786;2857;2179
08;10;02;06;9570;464;622;220;921;4341;1088;967;947;4688;3677
08;10;02;07;7465;447;761;274;862;2342;941;782;1056;3724;2578
08;10;02;08;12172;712;888;253;1256;5360;1373;1212;1118;5923;4350
08;10;02;09;8476;405;605;226;1117;3267;1011;868;977;4024;3378
08;10;03;10;7771;409;577;183;618;3321;1165;827;671;3929;2439
08;10;03;11;7267;366;426;106;590;3216;1035;850;678;3620;2291
08;10;03;12;11824;701;754;186;975;5323;1525;1214;1146;5865;3967
08;10;03;13;3832;209;238;60;340;1240;521;569;655;1925;860
08;10;03;14;8070;373;586;196;862;3668;946;732;707;3868;3302
08;10;04;15;6498;395;446;113;614;2961;665;654;650;3202;2219
08;10;04;16;6480;397;485;133;611;2789;696;709;660;3160;2182
08;10;04;17;9805;580;660;227;1044;4435;1114;949;796;4657;3531
08;10;04;18;9508;537;590;181;886;4224;1126;908;1056;4783;2908
08;10;04;19;7153;530;685;190;710;2776;776;714;772;3534;2957
08;10;05;20;5836;542;739;198;738;1584;665;657;713;2857;2213
08;10;05;21;9547;641;1277;367;1122;2414;1240;1112;1374;4707;2876
08;20;06;22;5645;444;579;190;731;1962;655;560;524;2626;2546
08;20;06;23;6016;432;538;136;574;1601;727;841;1167;2962;1498
08;20;06;24;8762;500;656;163;921;2555;1018;1235;1714;4524;2159
08;20;07;25;2462;101;215;73;227;481;355;457;553;1206;312
08;20;07;26;6172;356;552;167;500;1459;829;906;1403;3178;833
08;20;07;27;7921;406;490;127;691;2036;913;1309;1949;4238;1118
08;20;07;28;1211;60;60;24;108;221;151;218;369;662;179
08;20;07;29;1854;112;205;61;150;392;290;284;360;913;256
08;20;07;30;3381;103;260;90;354;661;462;547;904;1620;593
08;20;08;31;8319;466;595;157;680;1786;1111;1363;2161;4268;1068
08;20;08;32;11614;656;964;305;1023;2300;1414;1732;3220;6083;1676
08;20;08;33;8652;493;843;257;919;2005;1084;1091;1960;4277;2089
08;30;09;34;12550;907;1076;350;1189;2804;1347;1553;3324;6644;2740
08;30;09;35;7336;381;454;129;595;1570;802;982;2423;3889;1382
08;30;10;36;7141;487;606;241;635;1596;768;897;1911;3779;1485
08;30;10;37;10798;802;997;309;1131;2636;1297;1437;2189;5562;2608
08;40;11;38;2897;188;269;84;218;532;320;351;935;1556;412
08;40;11;39;4106;198;228;74;372;856;512;636;1230;2114;646
08;40;11;40;2665;140;227;73;252;578;310;449;636;1360;415
08;40;12;41;8179;442;677;253;759;1513;1118;1246;2171;4106;1301
08;40;12;42;6808;352;593;181;547;1198;872;1196;1869;3451;742
08;40;12;43;10005;585;773;241;860;2013;1248;1607;2678;5077;1433
08;40;12;44;7145;401;657;192;549;1303;976;1108;1959;3688;598
08;40;12;45;3727;271;324;119;382;878;520;520;713;1974;408
08;40;12;46;7882;499;716;237;705;1556;1037;1209;1923;4162;915
09;10;01;01;13108;951;1166;294;926;5113;1921;1397;1340;6583;2597
09;10;02;02;4310;298;392;98;296;1420;592;509;705;2196;484
09;10;02;03;6901;288;297;82;650;2153;778;970;1683;3552;967
09;10;03;04;11766;650;709;163;908;3862;1195;1329;2950;6161;1373
09;10;03;05;4022;218;226;57;391;1586;447;428;669;2063;526
09;10;03;06;3101;197;300;116;246;562;423;578;679;1569;543
09;10;04;07;8446;447;543;158;562;1978;916;1198;2644;4493;690
09;10;04;08;8225;538;645;163;784;2640;926;1091;1438;4191;857
09;10;04;09;3861;237;350;161;422;819;674;610;588;1950;401
09;20;05;10;7562;543;562;145;1101;3033;767;708;703;3529;2004
09;20;05;11;12795;988;1050;267;1610;4502;1384;1387;1607;6423;2195
09;20;05;12;3766;231;250;62;576;1467;342;356;482;1787;811
09;20;06;13;9999;733;698;167;1428;3969;917;875;1212;4747;2704
09;20;06;14;3560;161;257;85;250;713;398;570;1126;1806;227
09;20;07;15;3068;323;189;28;537;1328;229;205;229;1435;931
09;20;07;16;7699;494;613;166;828;2316;908;915;1459;3885;1338
09;20;07;17;9561;572;660;198;915;2980;1168;1280;1788;4754;1420
09;20;08;18;3342;216;242;60;315;1068;425;420;596;1708;323
09;20;08;19;8359;582;751;223;852;2687;952;976;1336;4147;1435
09;30;09;20;12261;913;1222;338;945;2950;1634;1973;2286;6230;1173
09;30;09;21;2740;150;256;61;190;661;409;464;549;1392;186
09;30;09;22;5916;417;600;206;513;1403;713;1003;1061;3068;808
09;30;09;23;8140;636;979;260;721;1979;1139;1270;1156;4059;888
09;30;10;24;2663;200;229;63;191;689;351;398;542;1388;187
09;30;10;25;10939;582;941;268;859;2288;1513;1969;2519;5462;1153
09;30;11;26;7480;507;491;134;494;2105;930;1013;1806;3817;794
09;30;12;27;1883;106;152;54;85;322;271;289;604;944;67
09;30;12;28;2652;165;226;63;159;545;384;492;618;1337;151
09;40;13;29;10151;408;618;174;570;1911;1211;1864;3395;5301;432
09;40;13;30;1869;81;179;42;78;350;276;348;515;958;90
09;40;14;31;5393;259;319;89;295;1087;504;601;2239;2994;261
09;40;14;32;1567;120;143;39;106;370;185;228;376;821;165
09;40;14;33;4483;229;276;124;374;910;396;583;1591;2263;532
09;40;15;34;7372;554;737;196;731;2273;870;969;1042;3734;1091
09;40;16;35;6908;322;615;146;343;1334;956;1417;1775;3447;251
09;50;17;36;4618;281;332;101;313;1052;577;682;1280;2426;391
09;50;17;37;14446;787;1153;391;817;2931;1923;2211;4233;7855;715
09;50;18;38;10233;571;863;258;641;1946;1419;1788;2747;5150;680
09;50;19;39;6414;447;462;115;606;2175;694;759;1156;3266;798
09;50;19;40;2708;188;187;46;276;965;337;289;420;1338;336
09;50;19;41;2755;145;129;33;146;784;287;404;827;1448;243
09;50;20;42;4164;276;292;94;317;1072;522;549;1042;2147;308
09;50;20;43;9151;387;585;173;635;1967;1070;1425;2909;4935;485
10;10;01;01;5732;418;565;175;500;1631;648;950;845;2905;1041
10;10;01;02;3524;261;331;104;316;981;384;584;563;1742;763
10;10;01;03;7677;471;749;250;724;1959;748;1278;1498;3790;1163
10;10;01;04;7577;505;918;299;728;2143;875;1198;911;3719;1037
10;10;02;05;1275;124;110;51;205;462;132;138;53;377;814
10;10;02;06;11192;740;1084;294;1167;3048;1041;1379;2439;5716;1723
10;10;02;07;8177;456;779;222;721;2391;822;1230;1556;4006;909
10;10;02;08;9401;492;622;138;914;2429;841;1214;2751;4685;1453
10;10;02;09;8311;508;778;244;736;2138;796;1050;2061;4080;1610
10;10;02;10;10756;585;928;311;904;2588;1044;1256;3140;5447;1543
10;10;03;11;2221;147;160;45;177;599;267;348;478;1037;388
10;10;03;12;15087;769;1149;359;1327;3837;1427;1762;4457;7670;2327
10;10;03;13;4734;262;295;85;455;1071;462;754;1350;2317;923
10;10;03;14;6320;289;533;155;438;1406;665;736;2098;3274;670
10;10;03;15;7341;440;668;203;669;1809;703;879;1970;3734;987
10;10;03;16;3708;292;316;70;196;956;338;519;1021;2039;213
10;20;04;17;7180;592;993;295;725;2123;724;1002;726;3660;1470
10;20;04;18;5940;416;481;130;559;1875;572;973;934;3005;623
10;20;04;19;3554;270;354;96;362;1169;390;525;388;1732;1046
10;20;04;20;7205;570;744;194;633;2038;725;1235;1066;3672;1604
10;20;04;21;1754;117;190;52;188;584;190;188;245;869;537
10;20;04;22;6622;530;765;232;722;1928;694;931;820;3241;2151
10;20;04;23;5899;435;674;172;695;1987;644;785;507;2834;1349
10;20;05;24;10600;840;849;211;958;2914;1090;2024;1714;5523;1753
10;20;05;25;5328;463;653;178;453;1508;632;871;570;2683;1088
10;20;05;26;6054;502;844;209;578;1922;604;777;618;2932;1556
10;20;06;27;3474;204;237;47;282;1162;342;622;578;1726;477
10;20;06;28;6479;614;753;196;591;2026;647;951;701;3274;1187
10;20;06;29;8973;476;645;154;625;2362;823;1306;2582;4812;926
10;20;06;30;6452;323;470;135;388;1332;626;1471;1707;3369;474
10;30;07;31;7712;332;504;146;693;1471;899;1403;2264;3863;822
10;30;07;32;7052;471;480;145;712;1840;789;1031;1584;3489;883
10;30;07;33;4729;355;409;89;475;1309;529;641;922;2432;706
10;30;07;34;10361;549;971;278;518;1997;1415;1978;2655;5229;553
10;40;08;35;7774;407;654;193;439;1610;998;1787;1686;3944;349
10;40;08;36;3871;242;294;94;260;857;526;689;909;1950;288
10;40;08;37;7711;356;722;186;389;1395;1100;1522;2041;3895;189
10;40;09;38;9974;589;910;223;465;2070;1348;2107;2262;5023;371
10;40;09;39;4426;269;358;108;268;988;553;842;1040;2231;265
10;40;09;40;5788;262;514;119;306;1010;797;1281;1499;2890;186
10;40;09;41;9694;524;939;243;535;1911;1416;1933;2193;4852;303
11;10;01;01;3283;140;267;106;195;646;462;793;674;1580;143
11;10;01;02;2700;276;326;97;280;815;289;394;223;1279;742
11;10;02;03;8955;704;984;275;752;2483;946;1518;1293;4568;1993
11;10;02;04;7000;458;718;219;595;1884;775;1226;1125;3483;1556
11;10;02;05;6152;435;545;183;509;1507;622;1165;1186;3206;1303
11;10;02;06;7571;609;828;178;639;2211;713;1101;1292;3874;1714
11;10;03;07;11761;697;1082;332;921;2775;1089;2139;2726;5990;2287
11;10;03;08;9591;653;980;256;808;2493;1051;1601;1749;4719;1911
11;10;03;09;6010;350;426;136;498;1589;510;946;1555;2999;1021
11;20;04;10;10088;819;1085;258;822;2653;1162;1468;1821;5014;2377
11;20;04;11;6786;392;594;183;515;1750;688;894;1770;3465;1039
11;20;05;12;3887;264;465;122;266;855;486;537;892;2022;603
11;20;05;13;10037;737;779;177;938;3558;1233;1166;1449;5031;2095
11;20;05;14;15627;1051;1337;389;1416;4149;1737;1800;3748;8089;3106
11;20;05;15;4215;302;323;101;285;1214;497;636;857;2117;563
11;30;06;16;5988;329;429;123;550;1731;566;586;1674;3046;1339
11;30;06;17;4275;220;227;82;323;1065;391;532;1435;2213;664
11;30;06;18;3728;212;214;44;397;1300;386;398;777;1910;768
11;30;06;19;8472;338;528;164;1256;2308;818;921;2139;4266;2062
11;30;06;20;11227;667;844;246;1084;3316;1237;1183;2650;5659;2490
11;30;07;21;5405;232;337;62;910;2078;634;564;588;2068;3105
11;30;07;22;10088;683;673;142;867;4054;1034;1010;1625;5135;1510
11;30;07;23;2358;167;181;67;415;792;404;251;81;845;1336
11;30;07;24;4039;233;233;83;435;1600;441;440;574;2019;736
11;30;07;25;9958;778;735;160;988;3973;1060;942;1322;5090;1618
11;30;08;26;9852;536;757;222;1187;2766;996;1208;2180;4962;2424
11;40;09;27;4188;370;418;119;345;1808;629;363;136;2023;691
11;40;09;28;2406;204;162;49;228;1092;249;194;228;1153;542
11;40;09;29;16263;1166;1145;245;1648;7510;1770;1425;1354;7915;3219
11;40;09;30;4687;280;182;48;484;1827;459;540;867;2462;505
11;40;09;31;6754;343;502;144;656;2005;673;767;1664;3327;1236
11;40;10;32;6011;291;316;92;762;2182;514;570;1284;2892;1625
11;40;10;33;6776;498;639;175;661;2162;624;693;1324;3398;1582
11;40;10;34;3345;214;249;58;334;1042;294;350;804;1701;765
11;40;11;35;10768;871;717;206;1070;2945;910;1033;3016;5700;2255
11;40;11;36;8105;337;323;81;1023;2192;700;1022;2427;4260;1441
11;40;11;37;8659;553;651;216;827;2321;849;984;2258;4457;1810
11;50;12;38;4266;435;501;138;300;1423;605;390;474;2126;586
11;50;13;39;10338;889;874;177;1193;3586;1158;1152;1309;5171;1670
11;50;13;40;10657;701;1068;296;637;2748;1415;1538;2254;5567;768
11;50;13;41;7410;436;986;241;614;2016;1156;933;1028;3706;741
12;10;01;01;10965;798;907;288;1278;3459;1260;1344;1631;5367;3716
12;10;01;02;9859;594;870;278;1209;2887;1288;1308;1425;4803;3105
12;10;01;03;7587;417;476;158;836;2207;987;1067;1439;3794;2003
12;10;02;04;8822;544;648;176;966;2520;977;1133;1858;4498;2425
12;10;02;05;13877;842;1008;333;1581;3954;1661;1882;2616;6936;3798
12;10;02;06;4613;259;282;68;428;1221;600;749;1006;2296;842
12;20;03;07;2714;126;193;70;238;759;371;426;531;1339;687
12;20;03;08;5644;274;365;126;549;1414;634;828;1454;2884;1356
12;20;03;09;10813;672;881;292;1422;3145;1306;1421;1674;5281;3813
12;20;03;10;8211;589;816;273;1041;2200;969;1007;1316;4059;3006
12;20;04;11;362;15;30;18;47;83;59;58;52;157;156
12;20;04;12;6398;337;518;137;566;1668;898;929;1345;2851;1268
12;20;04;13;8026;504;622;238;789;1963;1025;1124;1761;4172;1865
12;20;04;14;1431;82;103;30;118;274;201;258;365;672;188
12;20;05;15;10973;559;594;174;863;2573;1313;1585;3312;5927;1589
12;40;06;16;5960;282;499;194;372;859;811;1057;1886;3058;348
12;40;06;17;6786;315;584;200;468;1011;975;1326;1907;3444;364
12;40;06;18;3762;238;362;76;237;701;446;642;1060;1910;244
12;40;06;19;7733;379;647;234;587;1258;989;1297;2342;3961;515
12;40;07;20;8538;409;775;241;576;1181;1185;1379;2792;4487;434
12;40;07;21;8002;381;795;262;580;1135;1149;1331;2369;4091;536
12;40;07;22;8519;411;742;225;585;1348;1151;1408;2649;4398;554
12;40;07;23;8125;427;658;219;586;1316;1049;1367;2503;4262;637
12;50;08;24;9641;465;611;161;789;2055;1222;1593;2745;5176;786
12;50;08;25;6731;336;389;143;696;1803;844;1083;1437;3337;1262
12;50;09;26;5089;235;226;79;491;1122;528;766;1642;2616;825
12;50;09;27;6445;329;455;171;571;1233;791;1154;1741;3319;793
12;50;09;28;5107;299;416;124;441;1029;687;785;1326;2648;471
12;50;09;29;5137;245;483;164;384;874;732;864;1391;2599;323
12;50;09;30;10302;519;766;211;1154;2524;1286;1480;2362;4864;2563
12;60;10;31;3233;127;183;63;273;555;405;581;1046;1645;454
12;60;10;32;5920;510;758;252;672;1365;716;614;1033;2945;1914
12;60;11;33;11412;860;1460;434;1168;2749;1336;1244;2161;5821;3052
12;60;11;34;15316;1153;1743;574;1601;3351;1733;1753;3408;7982;3662
12;60;12;35;10598;781;1482;461;1241;2430;1283;1167;1753;5421;3260
12;60;12;36;3121;130;228;94;318;640;356;481;874;1582;597